date,F_1000,F_1001,F_1002,F_1003,F_1004,F_1005,F_1006,F_1007,F_1008,F_1009,F_1010,F_1011,F_1012,F_1013,F_1014,F_1015,F_1016,F_1017,F_1018,F_1019,F_1020,F_1021,F_1022,F_1023,F_1024,F_1025,F_1026,F_1027,F_1028,F_1029,F_1030,F_1031,F_1032,F_1033,F_1034,F_1035,F_1036,F_1037,F_1038,F_1039,F_1040,F_1041,F_1042,F_1043,F_1044,F_1045,F_1046,F_1047,F_1048,F_1049,F_1050,F_1051,F_1052,F_1053,F_1054,F_1055,F_1056,F_1057,F_1058,F_1059,F_1060,F_1061,F_1062,F_1063,F_1064,F_1065,F_1066,F_1067,F_1068,F_1069,F_1070,F_1071,F_1072,F_1073,F_1074,F_1075,F_1076,F_1077,F_1078,F_1079,F_1080,F_1081,F_1082,F_1083,F_1084,F_1085,F_1086,F_1087,F_1088,F_1089,F_1090,F_1091,F_1092,F_1093,F_1094,F_1095,F_1096,F_1097,F_1098,F_1099,F_1100,F_1101,F_1102,F_1103,F_1104,F_1105,F_1106,F_1107,F_1108,F_1109,F_1110,F_1111,F_1112,F_1113,F_1114,F_1115,F_1116,F_1117,F_1118,F_1119,F_1120,F_1121,F_1122,F_1123,F_1124,F_1125,F_1126,F_1127,F_1128,F_1129,F_1130,F_1131,F_1132,F_1133,F_1134,F_1135,F_1136,F_1137,F_1138,F_1139,F_1140,F_1141,F_1142,F_1143,F_1144,F_1145,F_1146,F_1147,F_1148,F_1149,F_1150,F_1151,F_1152,F_1153,F_1154,F_1155,F_1156,F_1157,F_1158,F_1159,F_1160,F_1161,F_1162,F_1163,F_1164,F_1165,F_1166,F_1167,F_1168,F_1169,F_1170,F_1171,F_1172,F_1173,F_1174,F_1175,F_1176,F_1177,F_1178,F_1179,F_1180,F_1181,F_1182,F_1183,F_1184,F_1185,F_1186,F_1187,F_1188,F_1189,F_1190,F_1191,F_1192,F_1193,F_1194,F_1195,F_1196,F_1197,F_1198,F_1199,F_1200,F_1201,F_1202,F_1203,F_1204,F_1205,F_1206,F_1207,F_1208,F_1209,F_1210,F_1211,F_1212,F_1213,F_1214,F_1215,F_1216,F_1217,F_1218,F_1219,F_1220,F_1221,F_1222,F_1223,F_1224,F_1225,F_1226,F_1227,F_1228,F_1229,F_1230,F_1231,F_1232,F_1233,F_1234,F_1235,F_1236,F_1237,F_1238,F_1239,F_1240,F_1241,F_1242,F_1243,F_1244,F_1245,F_1246,F_1247,F_1248,F_1249
2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0068602280031142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0068602280031142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0057167302450334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068098119921161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0084188948728756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-02,0.0068602280031142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0073858635216782,0.0068602280031142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0073858635216782,0.0084188948728756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0064634803431531,0.0084188948728756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.007268367806414,0.0068602280031142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0102847500879454,0.0057167302450334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03,0.0073858635216782,0.0057167302450334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0079478477728465,0.0073858635216782,0.0084188948728756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0079478477728465,0.0102847500879454,0.0068098119921161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0072977574511318,0.0102847500879454,0.0068098119921161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0077548195801347,0.0073858635216782,0.0084188948728756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0125180647903488,0.0064634803431531,0.0068098119921161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-04,0.0079478477728465,0.0064634803431531,0.0068602280031142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0085483704812045,0.0079478477728465,0.0102847500879454,0.0068602280031142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0085483704812045,0.0125180647903488,0.007268367806414,0.0084188948728756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0082284242921668,0.0125180647903488,0.007268367806414,0.0084188948728756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0082706478201968,0.0079478477728465,0.0102847500879454,0.0057167302450334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0151804778414531,0.0072977574511318,0.007268367806414,0.0084188948728756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-05,0.0085483704812045,0.0072977574511318,0.0073858635216782,0.0068602280031142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0091897281678252,0.0085483704812045,0.0125180647903488,0.0073858635216782,0.0068098119921161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0091897281678252,0.0151804778414531,0.0077548195801347,0.0102847500879454,0.0057167302450334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0092650590211919,0.0151804778414531,0.0077548195801347,0.0102847500879454,0.0068098119921161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0088173968131949,0.0085483704812045,0.0125180647903488,0.0064634803431531,0.0084188948728756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0183416534985796,0.0082284242921668,0.0077548195801347,0.0102847500879454,0.0068098119921161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-06,0.0091897281678252,0.0082284242921668,0.0079478477728465,0.0073858635216782,0.0068602280031142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0098743275143461,0.0091897281678252,0.0151804778414531,0.0079478477728465,0.007268367806414,0.0068602280031142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0098743275143461,0.0183416534985796,0.0082706478201968,0.0125180647903488,0.0064634803431531,0.0057167302450334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0104179906378731,0.0183416534985796,0.0082706478201968,0.0125180647903488,0.007268367806414,0.0057167302450334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0093966764149462,0.0091897281678252,0.0151804778414531,0.0072977574511318,0.0102847500879454,0.0068602280031142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0220798603621645,0.0092650590211919,0.0082706478201968,0.0125180647903488,0.007268367806414,0.0068098119921161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-07,0.0098743275143461,0.0092650590211919,0.0085483704812045,0.0079478477728465,0.0073858635216782,0.0084188948728756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0106046886982932,0.0098743275143461,0.0183416534985796,0.0085483704812045,0.0077548195801347,0.0073858635216782,0.0068602280031142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0106046886982932,0.0220798603621645,0.0088173968131949,0.0151804778414531,0.0072977574511318,0.0064634803431531,0.0068098119921161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.011698333422989,0.0220798603621645,0.0088173968131949,0.0151804778414531,0.0077548195801347,0.0064634803431531,0.0084188948728756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0100101638285502,0.0098743275143461,0.0183416534985796,0.0082284242921668,0.0125180647903488,0.0073858635216782,0.0068098119921161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0264824984518658,0.0104179906378731,0.0088173968131949,0.0151804778414531,0.0077548195801347,0.007268367806414,0.0057167302450334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-08,0.0106046886982932,0.0104179906378731,0.0091897281678252,0.0085483704812045,0.0079478477728465,0.0102847500879454,0.0068098119921161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0113834486872537,0.0106046886982932,0.0220798603621645,0.0091897281678252,0.0082706478201968,0.0079478477728465,0.0073858635216782,0.0068602280031142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0113834486872537,0.0264824984518658,0.0093966764149462,0.0183416534985796,0.0082284242921668,0.0072977574511318,0.007268367806414,0.0057167302450334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0131180199747809,0.0264824984518658,0.0093966764149462,0.0183416534985796,0.0082706478201968,0.0072977574511318,0.0102847500879454,0.0068098119921161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0106596053659712,0.0106046886982932,0.0220798603621645,0.0092650590211919,0.0151804778414531,0.0079478477728465,0.007268367806414,0.0084188948728756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0316465508973804,0.011698333422989,0.0093966764149462,0.0183416534985796,0.0082706478201968,0.0077548195801347,0.0064634803431531,0.0068098119921161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-09,0.0113834486872537,0.011698333422989,0.0098743275143461,0.0091897281678252,0.0085483704812045,0.0125180647903488,0.007268367806414,0.0068098119921161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0122133644787167,0.0113834486872537,0.0264824984518658,0.0098743275143461,0.0088173968131949,0.0085483704812045,0.0079478477728465,0.0073858635216782,0.0068602280031142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0122133644787167,0.0316465508973804,0.0100101638285502,0.0220798603621645,0.0092650590211919,0.0082284242921668,0.0077548195801347,0.0064634803431531,0.0057167302450334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0146898323831294,0.0316465508973804,0.0100101638285502,0.0220798603621645,0.0088173968131949,0.0082284242921668,0.0125180647903488,0.007268367806414,0.0084188948728756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0113468181878664,0.0113834486872537,0.0264824984518658,0.0104179906378731,0.0183416534985796,0.0085483704812045,0.0077548195801347,0.0102847500879454,0.0068602280031142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0376789340181641,0.0131180199747809,0.0100101638285502,0.0220798603621645,0.0088173968131949,0.0082706478201968,0.0072977574511318,0.007268367806414,0.0068602280031142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-10,0.0122133644787167,0.0131180199747809,0.0106046886982932,0.0098743275143461,0.0091897281678252,0.0151804778414531,0.0077548195801347,0.007268367806414,0.0084188948728756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0130973162716212,0.0122133644787167,0.0316465508973804,0.0106046886982932,0.0093966764149462,0.0091897281678252,0.0085483704812045,0.0079478477728465,0.0073858635216782,0.0068098119921161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0130973162716212,0.0376789340181641,0.0106596053659712,0.0264824984518658,0.0104179906378731,0.0092650590211919,0.0082706478201968,0.0072977574511318,0.0064634803431531,0.0068098119921161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0164274310412429,0.0376789340181641,0.0106596053659712,0.0264824984518658,0.0093966764149462,0.0092650590211919,0.0151804778414531,0.0077548195801347,0.0102847500879454,0.0068098119921161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.012073692016097,0.0122133644787167,0.0316465508973804,0.011698333422989,0.0220798603621645,0.0091897281678252,0.0082706478201968,0.0125180647903488,0.0073858635216782,0.0068602280031142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0446967171456685,0.0146898323831294,0.0106596053659712,0.0264824984518658,0.0093966764149462,0.0088173968131949,0.0082284242921668,0.0077548195801347,0.0073858635216782,0.0084188948728756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
